baseline,flooded,
1357.685017,1440.630928,82.94591084
1014.784039,1074.14174,59.35770153
975.5206987,1091.188776,115.6680775
1100.173869,1157.189578,57.01570875
1751.436702,1834.066018,82.62931669
984.1221702,1043.612941,59.49077125
1398.751474,1452.140372,53.38889748
1005.455829,1128.779124,123.3232948
771.0382289,858.1336892,87.0954603
3546.652779,3980.764856,434.1120775
875.0497844,937.6622243,62.61243991
1354.754403,1404.559869,49.8054652
1031.081399,1134.451121,103.3697226
912.7225266,978.2733504,65.55082387
806.8551627,0,-806.8551627
991.6338445,1042.970668,51.33682386
1454.536165,2422.648704,968.112539
1025.47094,1076.556225,51.0852848
1099.296363,1157.501574,58.20521135
777.341436,859.0179277,81.67649164
991.3003362,1050.718608,59.41827229
938.7557526,1000.999298,62.24354498
753.7759134,854.8403114,101.064398
849.716014,915.8180664,66.10205238
990.475336,1049.893749,59.41841327
1636.236146,1730.57096,94.33481356
842.6856819,909.1099155,66.42423364
789.0638398,895.909469,106.8456292
782.991613,868.2707136,85.27910059
784.9996448,933.363947,148.3643022
807.2860893,1112.402975,305.1168859
2932.62925,3367.741829,435.1125789
3591.240641,4025.005885,433.7652435
874.1615417,949.833369,75.67182731
859.0751518,925.3202795,66.24512773
1128.793973,1275.935567,147.141594
3401.83243,3836.843937,435.0115065
1215.823247,1289.236311,73.41306315
1148.40535,1201.25436,52.84900959
774.3143724,868.9186123,94.6042399
960.2069043,1159.641381,199.434477
788.3935792,866.3429571,77.94937793
1879.96617,1951.506734,71.5405649
1481.914061,1533.4414,51.52733954
969.2310614,0,-969.2310614
1041.476038,1081.768385,40.29234614
838.4814507,904.5959107,66.11445995
1572.826284,2413.990124,841.1638401
1008.183851,0,-1008.183851
1780.285195,1874.593547,94.30835174
1462.34782,1513.294437,50.9466168
1227.656397,1278.340032,50.68363429
3606.471863,4040.232444,433.7605809
1221.207173,1271.934362,50.72718952
783.8375145,849.6956207,65.85810623
793.3182595,862.0031969,68.68493737
1104.664311,1162.412378,57.74806712
802.4855562,897.4504289,94.96487271
819.3082698,888.2941911,68.98592132
1380.199339,1453.197671,72.9983321
814.0881579,893.6655301,79.57737214
1042.43499,1136.007002,93.57201214
755.1531539,819.8685522,64.71539834
1013.404018,1116.590659,103.1866416
1261.870392,1317.350287,55.47989487
884.5357126,1052.592351,168.056638
1999.604912,2439.012715,439.4078035
833.6247694,917.2584872,83.63371776
764.2286035,872.0949537,107.8663502
861.5207699,922.949116,61.42834611
818.9361005,0,-818.9361005
1071.553482,1130.41462,58.86113818
887.2193727,951.3382912,64.1189185
781.4153794,878.3317297,96.91635029
758.6275168,846.951577,88.32406019
939.8119913,985.5946112,45.78261989
890.4752098,1011.770633,121.2954235
764.2047056,843.1125738,78.90786819
3441.566649,3875.524078,433.9574296
837.5326752,900.746714,63.21403877
1409.09339,1482.081782,72.98839231
1155.211143,1222.499672,67.28852948
807.0484798,873.0118175,65.96333771
1096.468062,1166.833192,70.36513056
888.1270847,944.9390991,56.81201448
1290.034713,1345.577544,55.54283165
1236.423556,1295.699447,59.27589066
796.5403561,872.3567888,75.81643264
857.4449871,987.1392767,129.6942896
835.2941548,989.7291047,154.4349498
