,node_ID,y,highway,osmid,x,flood_depth,geometry
0,1791361026,0.426898,,1791361026,32.5275943,0.0,POINT (32.5275943 0.426898)
1,1791361027,0.418421,,1791361027,32.5318531,0.0,POINT (32.5318531 0.418421)
2,1791361029,0.4023146,,1791361029,32.5467302,-32767.0,POINT (32.5467302 0.4023146)
3,1791361034,0.4175627,,1791361034,32.5339237,0.0,POINT (32.5339237 0.4175627)
4,1791361039,0.4053207,,1791361039,32.5503561,-32767.0,POINT (32.5503561 0.4053207)
5,1791361047,0.4185176,,1791361047,32.5321213,0.0,POINT (32.5321213 0.4185176)
6,3849191448,0.1057435,,3849191448,32.5197295,0.0,POINT (32.5197295 0.1057435)
7,3849191449,0.1056325,,3849191449,32.519173,0.0,POINT (32.519173 0.1056325)
8,3849191455,0.1058875,,3849191455,32.5176782,0.0,POINT (32.5176782 0.1058875)
9,1791361056,0.3979724,,1791361056,32.5494726,-32767.0,POINT (32.5494726 0.3979724)
10,3849191456,0.1062673,,3849191456,32.519696,0.0,POINT (32.519696 0.1062673)
11,2435317795,0.3799442,,2435317795,32.607037,-32767.0,POINT (32.607037 0.3799442)
12,1791361070,0.3990929,,1791361070,32.5489015,-32767.0,POINT (32.5489015 0.3990929)
13,3797024821,0.292402,,3797024821,32.5721737,-32767.0,POINT (32.5721737 0.292402)
14,1791361084,0.3998539,,1791361084,32.5511557,-32767.0,POINT (32.5511557 0.3998539)
15,1791361088,0.4029182,,1791361088,32.5465678,-32767.0,POINT (32.5465678 0.4029182)
16,1791361089,0.402351,,1791361089,32.5458925,-32767.0,POINT (32.5458925 0.402351)
17,3797024837,0.288829,,3797024837,32.5738679,-32767.0,POINT (32.5738679 0.288829)
18,3797024845,0.2875967,,3797024845,32.5744718,-32767.0,POINT (32.5744718 0.2875967)
19,3797024846,0.2886098,,3797024846,32.573161,-32767.0,POINT (32.573161 0.2886098)
20,1791361102,0.4239175,,1791361102,32.5285203,0.0,POINT (32.5285203 0.4239175)
21,1791361113,0.4053663,,1791361113,32.5425169,-32767.0,POINT (32.5425169 0.4053663)
22,1791361116,0.406169,,1791361116,32.5463505,-32767.0,POINT (32.5463505 0.406169)
23,1791361118,0.4186195,,1791361118,32.5331512,0.0,POINT (32.5331512 0.4186195)
24,6193938528,0.3831829,,6193938528,32.4533209,0.0,POINT (32.4533209 0.3831829)
25,6193938529,0.3878659,,6193938529,32.4498367,0.0,POINT (32.4498367 0.3878659)
26,6193938534,0.3874931,,6193938534,32.4593076,0.0,POINT (32.4593076 0.3874931)
27,6193938537,0.3881771,,6193938537,32.4572504,0.0,POINT (32.4572504 0.3881771)
28,6198263914,0.3507398,,6198263914,32.7034895,0.0,POINT (32.7034895 0.3507398)
29,1791361132,0.4028336,,1791361132,32.5414563,-32767.0,POINT (32.5414563 0.4028336)
30,1791361134,0.4124638,,1791361134,32.5533664,0.0,POINT (32.5533664 0.4124638)
31,1791361136,0.4030408,,1791361136,32.5429731,-32767.0,POINT (32.5429731 0.4030408)
32,6198263922,0.3547372,,6198263922,32.7044197,0.0,POINT (32.7044197 0.3547372)
33,5806620791,0.2388041,,5806620791,32.6193547,-32767.0,POINT (32.6193547 0.2388041)
34,1791361152,0.4197902,,1791361152,32.5534094,0.0,POINT (32.5534094 0.4197902)
35,1791361153,0.398647,,1791361153,32.5511587,-32767.0,POINT (32.5511587 0.398647)
