,FID,geometry
0,0,"POLYGON ((106.7682400000001 48.02271000000007, 106.7727315764207 48.02271000000007, 106.7727315764207 48.016024264356, 106.7682400000001 48.016024264356, 106.7682400000001 48.02271000000007))"
1,1,"POLYGON ((106.7682400000001 48.016024264356, 106.7727315764207 48.016024264356, 106.7727315764207 48.00933852871193, 106.7682400000001 48.00933852871193, 106.7682400000001 48.016024264356))"
2,2,"POLYGON ((106.7682400000001 48.00933852871193, 106.7727315764207 48.00933852871193, 106.7727315764207 48.00265279306786, 106.7682400000001 48.00265279306786, 106.7682400000001 48.00933852871193))"
3,3,"POLYGON ((106.7682400000001 48.00265279306786, 106.7727315764207 48.00265279306786, 106.7727315764207 47.99596705742379, 106.7682400000001 47.99596705742379, 106.7682400000001 48.00265279306786))"
4,4,"POLYGON ((106.7682400000001 47.99596705742379, 106.7727315764207 47.99596705742379, 106.7727315764207 47.98928132177972, 106.7682400000001 47.98928132177972, 106.7682400000001 47.99596705742379))"
5,5,"POLYGON ((106.7682400000001 47.98928132177972, 106.7727315764207 47.98928132177972, 106.7727315764207 47.98259558613565, 106.7682400000001 47.98259558613565, 106.7682400000001 47.98928132177972))"
6,6,"POLYGON ((106.7682400000001 47.98259558613565, 106.7727315764207 47.98259558613565, 106.7727315764207 47.97590985049158, 106.7682400000001 47.97590985049158, 106.7682400000001 47.98259558613565))"
7,7,"POLYGON ((106.7682400000001 47.97590985049158, 106.7727315764207 47.97590985049158, 106.7727315764207 47.96922411484751, 106.7682400000001 47.96922411484751, 106.7682400000001 47.97590985049158))"
8,8,"POLYGON ((106.7682400000001 47.96922411484751, 106.7727315764207 47.96922411484751, 106.7727315764207 47.96253837920344, 106.7682400000001 47.96253837920344, 106.7682400000001 47.96922411484751))"
9,9,"POLYGON ((106.7682400000001 47.96253837920344, 106.7727315764207 47.96253837920344, 106.7727315764207 47.95585264355937, 106.7682400000001 47.95585264355937, 106.7682400000001 47.96253837920344))"
10,10,"POLYGON ((106.7682400000001 47.95585264355937, 106.7727315764207 47.95585264355937, 106.7727315764207 47.94916690791531, 106.7682400000001 47.94916690791531, 106.7682400000001 47.95585264355937))"
11,11,"POLYGON ((106.7682400000001 47.94916690791531, 106.7727315764207 47.94916690791531, 106.7727315764207 47.94248117227124, 106.7682400000001 47.94248117227124, 106.7682400000001 47.94916690791531))"
12,12,"POLYGON ((106.7682400000001 47.94248117227124, 106.7727315764207 47.94248117227124, 106.7727315764207 47.93579543662717, 106.7682400000001 47.93579543662717, 106.7682400000001 47.94248117227124))"
13,13,"POLYGON ((106.7682400000001 47.93579543662717, 106.7727315764207 47.93579543662717, 106.7727315764207 47.9291097009831, 106.7682400000001 47.9291097009831, 106.7682400000001 47.93579543662717))"
14,14,"POLYGON ((106.7682400000001 47.9291097009831, 106.7727315764207 47.9291097009831, 106.7727315764207 47.92242396533903, 106.7682400000001 47.92242396533903, 106.7682400000001 47.9291097009831))"
15,15,"POLYGON ((106.7682400000001 47.92242396533903, 106.7727315764207 47.92242396533903, 106.7727315764207 47.91573822969496, 106.7682400000001 47.91573822969496, 106.7682400000001 47.92242396533903))"
16,16,"POLYGON ((106.7682400000001 47.91573822969496, 106.7727315764207 47.91573822969496, 106.7727315764207 47.90905249405089, 106.7682400000001 47.90905249405089, 106.7682400000001 47.91573822969496))"
17,17,"POLYGON ((106.7682400000001 47.90905249405089, 106.7727315764207 47.90905249405089, 106.7727315764207 47.90236675840682, 106.7682400000001 47.90236675840682, 106.7682400000001 47.90905249405089))"
18,18,"POLYGON ((106.7682400000001 47.90236675840682, 106.7727315764207 47.90236675840682, 106.7727315764207 47.89568102276275, 106.7682400000001 47.89568102276275, 106.7682400000001 47.90236675840682))"
19,19,"POLYGON ((106.7682400000001 47.89568102276275, 106.7727315764207 47.89568102276275, 106.7727315764207 47.88899528711868, 106.7682400000001 47.88899528711868, 106.7682400000001 47.89568102276275))"
20,20,"POLYGON ((106.7682400000001 47.88899528711868, 106.7727315764207 47.88899528711868, 106.7727315764207 47.88230955147461, 106.7682400000001 47.88230955147461, 106.7682400000001 47.88899528711868))"
21,21,"POLYGON ((106.7682400000001 47.88230955147461, 106.7727315764207 47.88230955147461, 106.7727315764207 47.87562381583054, 106.7682400000001 47.87562381583054, 106.7682400000001 47.88230955147461))"
22,22,"POLYGON ((106.7682400000001 47.87562381583054, 106.7727315764207 47.87562381583054, 106.7727315764207 47.86893808018647, 106.7682400000001 47.86893808018647, 106.7682400000001 47.87562381583054))"
23,23,"POLYGON ((106.7682400000001 47.86893808018647, 106.7727315764207 47.86893808018647, 106.7727315764207 47.86225234454241, 106.7682400000001 47.86225234454241, 106.7682400000001 47.86893808018647))"
24,24,"POLYGON ((106.7682400000001 47.86225234454241, 106.7727315764207 47.86225234454241, 106.7727315764207 47.85556660889834, 106.7682400000001 47.85556660889834, 106.7682400000001 47.86225234454241))"
25,25,"POLYGON ((106.7682400000001 47.85556660889834, 106.7727315764207 47.85556660889834, 106.7727315764207 47.84888087325427, 106.7682400000001 47.84888087325427, 106.7682400000001 47.85556660889834))"
26,26,"POLYGON ((106.7682400000001 47.84888087325427, 106.7727315764207 47.84888087325427, 106.7727315764207 47.8421951376102, 106.7682400000001 47.8421951376102, 106.7682400000001 47.84888087325427))"
