,node_ID,highway,osmid,y,x,geometry
0,6241026052,,6241026052,0.3487386,32.5916098,POINT (32.5916098 0.3487386)
1,1470693384,,1470693384,0.2974663,32.6066361,POINT (32.6066361 0.2974663)
2,1470693385,,1470693385,0.2976336,32.6070727,POINT (32.6070727 0.2976336)
3,579895309,,579895309,0.3144656,32.611184,POINT (32.611184 0.3144656)
4,6240796685,,6240796685,0.3278285,32.5463802,POINT (32.5463802 0.3278285)
5,3942350863,,3942350863,0.3142537,32.5850123,POINT (32.5850123 0.3142537)
6,3942350866,,3942350866,0.3144968,32.5849564,POINT (32.5849564 0.3144968)
7,556859411,,556859411,0.3174025,32.5687406,POINT (32.5687406 0.3174025)
8,6241026069,,6241026069,0.3485616,32.5953881,POINT (32.5953881 0.3485616)
9,1803190293,,1803190293,0.3902369,32.5773235,POINT (32.5773235 0.3902369)
10,556859415,,556859415,0.3177983,32.5688028,POINT (32.5688028 0.3177983)
11,579895322,,579895322,0.315338,32.6113154,POINT (32.6113154 0.315338)
12,6241026075,,6241026075,0.344589,32.5955044,POINT (32.5955044 0.344589)
13,556859419,,556859419,0.3183185,32.5675678,POINT (32.5675678 0.3183185)
14,1803190301,,1803190301,0.3897733,32.5793035,POINT (32.5793035 0.3897733)
15,556859424,,556859424,0.3130779,32.5694285,POINT (32.5694285 0.3130779)
16,3942350882,,3942350882,0.3136726,32.585415,POINT (32.585415 0.3136726)
17,2435317795,,2435317795,0.3799442,32.607037,POINT (32.607037 0.3799442)
18,353730600,,353730600,0.3059516,32.5501341,POINT (32.5501341 0.3059516)
19,3842539560,,3842539560,0.4026673,32.576268,POINT (32.576268 0.4026673)
20,6240796716,,6240796716,0.3254427,32.5440373,POINT (32.5440373 0.3254427)
21,6221168688,,6221168688,0.3283472,32.5342251,POINT (32.5342251 0.3283472)
22,6227165233,,6227165233,0.2600225,32.6030499,POINT (32.6030499 0.2600225)
23,6227165234,,6227165234,0.259877,32.602907,POINT (32.602907 0.259877)
24,6009716788,,6009716788,0.2556794,32.6326903,POINT (32.6326903 0.2556794)
25,6227165241,,6227165241,0.2594484,32.6032841,POINT (32.6032841 0.2594484)
26,6240796730,,6240796730,0.3269794,32.5442627,POINT (32.5442627 0.3269794)
27,3797024827,,3797024827,0.2913537,32.5735811,POINT (32.5735811 0.2913537)
28,6221168698,,6221168698,0.3277668,32.5341278,POINT (32.5341278 0.3277668)
29,6221168699,,6221168699,0.3251229,32.534848,POINT (32.534848 0.3251229)
30,3797024830,,3797024830,0.2904699,32.5733672,POINT (32.5733672 0.2904699)
31,6221168703,,6221168703,0.3199063,32.5358648,POINT (32.5358648 0.3199063)
32,6221168702,,6221168702,0.325489,32.5344463,POINT (32.5344463 0.325489)
33,6227165244,,6227165244,0.2534517,32.6087228,POINT (32.6087228 0.2534517)
34,1803190338,,1803190338,0.3903523,32.5777861,POINT (32.5777861 0.3903523)
35,6221168707,,6221168707,0.3201146,32.5354153,POINT (32.5354153 0.3201146)
36,6221168708,,6221168708,0.3204284,32.5343384,POINT (32.5343384 0.3204284)
37,3797024837,,3797024837,0.2888459,32.5738654,POINT (32.5738654 0.2888459)
38,6221168710,,6221168710,0.3208342,32.5337854,POINT (32.5337854 0.3208342)
39,6227165257,,6227165257,0.2521871,32.6082983,POINT (32.6082983 0.2521871)
40,3797024845,,3797024845,0.2876107,32.5745098,POINT (32.5745098 0.2876107)
